ZrB2,SiC,Sinter temp,Sintering Time (min),Relative Density,Temp,Time@Temp (min),Oxide Thickness (um),Thermal Conductivity
100.0,0.0,1900,120,67.7,1250.0,5.0,41.9,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,6.0,42.6,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,7.0,47.0,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,15.0,56.8,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,22.0,64.3,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,31.0,71.3,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,44.0,88.9,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,50.0,95.18,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,55.0,99.7,71.7785559624138
100.0,0.0,1900,120,67.7,1250.0,60.0,105.5,71.7785559624138
